epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,2323.38,1.19639,0.98395,1.36704,0.84383,0.83083,0.85419,0.53871,1.24098,0.78236,1.44215,0.00106345,0.00106345,0.00106345
130,2341.28,1.21202,1.02286,1.37364,0.82228,0.81955,0.84174,0.53369,1.27409,0.80229,1.42304,0.00105874,0.00105874,0.00105874
131,2359.22,1.20303,0.99405,1.34909,0.89836,0.80075,0.83817,0.52789,1.33075,0.85485,1.46478,0.00105402,0.00105402,0.00105402
132,2377.14,1.22585,0.98436,1.36863,0.87416,0.78615,0.8471,0.53198,1.31029,0.76491,1.43559,0.00104931,0.00104931,0.00104931
133,2395.03,1.18167,1.00371,1.37251,0.89359,0.79699,0.84952,0.52655,1.30828,0.81325,1.44102,0.00104459,0.00104459,0.00104459
134,2412.98,1.1885,0.94316,1.33078,0.85664,0.79323,0.82792,0.53357,1.31612,0.83129,1.43181,0.00103987,0.00103987,0.00103987
135,2430.94,1.20081,0.93855,1.35076,0.83818,0.79699,0.8232,0.53198,1.26112,0.84607,1.40256,0.00103516,0.00103516,0.00103516
136,2448.84,1.23142,0.95948,1.38159,0.88816,0.7967,0.83815,0.52698,1.24904,0.83735,1.39083,0.00103044,0.00103044,0.00103044
137,2466.75,1.19372,0.94428,1.34039,0.85003,0.80149,0.83295,0.55047,1.22271,0.75951,1.40415,0.00102573,0.00102573,0.00102573
138,2484.67,1.20002,0.92414,1.32926,0.83589,0.82193,0.8426,0.55559,1.2439,0.76915,1.41235,0.00102101,0.00102101,0.00102101
139,2502.57,1.27313,1.02459,1.40898,0.87289,0.81203,0.84922,0.52903,1.28381,0.8451,1.41265,0.0010163,0.0010163,0.0010163
140,2520.74,1.20612,0.9659,1.35384,0.85754,0.781,0.84999,0.548,1.23361,0.93842,1.41457,0.00101158,0.00101158,0.00101158
141,2538.84,1.2016,0.97087,1.35259,0.85803,0.80031,0.84093,0.52036,1.3676,0.93675,1.47513,0.00100687,0.00100687,0.00100687
142,2556.93,1.16144,0.91966,1.33096,0.90249,0.81955,0.85897,0.55699,1.21883,0.75031,1.38576,0.00100215,0.00100215,0.00100215
143,2574.9,1.18458,0.91795,1.35001,0.84733,0.78978,0.82789,0.51331,1.31589,0.83337,1.4354,0.000997438,0.000997438,0.000997438
144,2592.87,1.18831,0.89348,1.33772,0.88638,0.78947,0.85322,0.5448,1.26133,0.74524,1.39742,0.000992722,0.000992722,0.000992722
